"cafeno","name","address","business_hours","tel"
"286","카페46","서울 종로구 사직로8길 20 파크팰리스116호","월~토 10:00 ~ 23:00","070-4118-5908"
"287","위트러스트커피 시청점","서울 중구 서소문로 125","","02-754-0303"
"293","풀오브파운드","서울 종로구 사직로12길 1-2","","02-720-4009"
"294","투썸플레이스 대한통운사옥점","서울 중구 세종대로9길 53 대한통운빌딩 1층","월~금 07:00 ~ 17:30","02-318-4842"
"295","투썸플레이스 순화동점","서울 중구 세종대로7길 37 ING센터 1층","월~금 07:00 ~ 23:00","02-757-2388"
"298","가을","서울 종로구 세종대로23길 21","","02-730-7537"
"303","카페자스 광화문점","서울 종로구 새문안로5가길 3-1","월~금 07:00 ~ 22:00","02-733-7071"
"304","그레이커피","서울 종로구 사직로8길 34 경희궁의아침3단지 상가 110호","",""
"305","카페아이엠티 광화문점","서울 종로구 새문안로 76 콘코디언빌딩 지하1층 106호","월~금 07:00 ~ 19:00",""
"308","요거프레소 광화문오피시아점","서울 종로구 새문안로 92","월~금 08:00 ~ 18:00","02-3276-3000"
"309","내자동커피","서울 종로구 사직로8길 17","월~금 08:00 ~ 23:00","02-739-2100"
"316","커피빈 세종문화회관옆점","서울 종로구 새문안로9길 25 1층","월~금 07:00 ~ 23:00","02-720-5561"
"322","매머드커피 광화문점","서울 종로구 새문안로5가길 5 1층","월~금 07:00 ~ 20:00","070-4106-0042"
"325","커피빈 광화문점","서울 종로구 종로 14 센트리얼빌딩 1층","월~금 07:00 ~ 23:30","02-3210-2326"
"326","커피온리 광화문역점","서울 종로구 새문안로9길 21","",""
"328","LP소리골","서울 종로구 새문안로9길 29-3 지하1층","","02-3394-5910"
"329","스타벅스 무교동점","서울 중구 무교로 21 코오롱 빌딩 1층","월~금 06:30 ~ 22:30","1522-3232"
"340","카페잇","서울 종로구 경희궁2길 14-4","","02-322-7810"
"344","적당","서울 중구 을지로 29 1층","매일 10:00 ~ 22:00",""
"347","카페셀란","서울 종로구 세종대로 175 1동 1층","",""
"348","동아","서울 종로구 당주동 131","",""
"350","카페EAT","서울 종로구 경희궁2길 14-4","",""
"351","H라운지","서울 종로구 자하문로4길 21-9","월요일","02-722-0028"
"353","스타벅스 태평로점","서울 중구 세종대로 72 대영빌딩 1층","월~금 07:00 ~ 23:00","1522-3232"
"354","여름","서울 종로구 새문안로5길 10 2층","","02-732-9799"
"361","헤븐온탑","서울 종로구 종로3길 17 광화문D타워 4층","매일 11:00 ~ 22:00","02-2251-8488"
"363","파스쿠찌 서울시청점","서울 중구 태평로1가 25-3 뉴 국제호텔 1층","월~금 07:30 ~ 23:00","02-730-8497"
"365","공차 시청점","서울 중구 을지로1길 15","월~금 08:00 ~ 22:00","02-3789-0455"
"366","매머드커피 퍼시픽타워점","서울 중구 세종대로9길 41 1층","월~금 07:00 ~ 21:00","070-8832-3592"
"372","다락","서울 종로구 새문안로5길 7-1","","02-733-8529"
"375","토프레소 태평로점","서울 중구 세종대로21길 49 1층","","02-736-7003"
"376","기빙트리","서울 중구 서소문로 38","","02-2128-0222"
"378","마담티라미수 디타워점","서울 종로구 종로3길 17 111호","월~금 08:00 ~ 21:00","02-2252-8030"
"379","아름다운커피 경복궁점","서울 종로구 사직로 130 현대적선빌딩 1층","월~금 07:30 ~ 21:00","02-722-0050"
"381","커피티쳐 광화문점","서울 종로구 세종대로23길 3 1층","",""
"383","투섬플러스","서울 종로구 세종대로21길 77-1","",""
"386","드롭탑 세종로점","서울 종로구 세종대로 지하 189","","02-733-9531"
"387","이디야커피 경복궁역점","서울 종로구 자하문로 7","월~금 08:00 ~ 23:00","070-8851-5001"
"389","스타벅스 시청플러스점","서울 중구 을지로 19 삼성화재삼성빌딩 1층","월~금 07:30 ~ 18:00","1522-3232"
"391","코피오","서울 종로구 새문안로 92 광화문오피시아빌딩 지하 103호","","02-732-8222"
"396","카페광화문","서울 종로구 새문안로5가길 9","월~금 07:00 ~ 19:00","02-732-7111"
"400","포시즌","서울 종로구 새문안로7길 16","","02-722-2017"
"402","빈트리200 25 광화문점","서울 종로구 새문안로5길 5-27","매일 07:30 ~ 19:00","070-8283-2157"
"406","수키","서울 종로구 사직로8길 34 경희궁의아침 3단지 오피스텔 지하2층 161호","","010-9541-6490"
"407","토츠오츠","서울 종로구 새문안로5길 37 도렴빌딩 지하1층 39호","월~금 08:00 ~ 19:00 · 브레이크타임 월~금 15:00 ~ 16:00","070-4191-0100"
"409","올림커피","서울 종로구 사직로 94","월~금 10:00 ~ 21:00","070-8151-8148"
"410","고요채","서울 종로구 새문안로5가길 11 2층","월~금 12:00 ~ 24:00",""
"412","코지25","서울 종로구 사직로 115 1,2층","",""
"413","커피빈 무교점","서울 중구 세종대로 136 SFC빌딩 지하 1층","월~금 07:00 ~ 22:00","02-753-2374"
"415","디초콜릿커피앤드 덕수궁점","서울 중구 세종대로 91 1, 2층","월~금 07:30 ~ 23:00","02-6365-0143"
"417","더라임","서울 서대문구 충정로 8","","02-313-5084"
"427","심플 광화문점","서울 종로구 세종대로21길 71","",""
"428","새문생과일주스","서울 종로구 세종대로23길 47","",""
"430","오헤어22","서울 중구 만리재로 201 1층","영업시간 월~토 18:00 ~ 01:00",""
"431","이지샐러드 시청점","서울 중구 남대문로9길 40 센터플레이스 2층","","02-6031-8927"
"432","카페다다","서울 종로구 새문안로3길 30","",""
"438","서촌다방","서울 종로구 자하문로2길 3 1층","월~금 08:30 ~ 20:00","02-733-6245"
"439","메가커피 경복궁역점","서울 종로구 자하문로 11-1","",""
"441","시퀀스커피","서울 종로구 새문안로9길 9","","02-735-0921"
"442","겟아웃","서울 종로구 세종대로23길 54","",""
"443","커피팩토리","서울 종로구 자하문로 8 1층","","02-737-7848"
"444","플로리안커피","서울 종로구 새문안로5길 7-1","","070-8813-7273"
"445","언노운커피","서울 종로구 새문안로5길 11","",""
"449","빈스빈스 HSBC본점","서울 중구 칠패로 37 HSBC빌딩 1층","","02-318-1982"
"452","화두","서울 종로구 사직로 127","매일 11:00 ~ 23:00","02-723-0980"
"455","대오서점","서울 종로구 자하문로7길 55","","02-735-1349"
"456","청춘 라이브카페","서울 종로구 새문안로5길 11-7","","02-735-9913"
"457","뜰","서울 종로구 새문안로5길 9","",""
"461","온더로드","서울 중구 세종대로 80","","070-7543-3454"
"463","예린","서울 종로구 새문안로5길 11-7 3층","",""
"465","광화문나무","서울 종로구 새문안로5길 10-1 2층","","02-736-9877"
"466","호떡당 광화문D타워점","서울 종로구 종로3길 17","매일 10:30 ~ 20:30",""
"469","섬","서울 종로구 새문안로5길 14","","02-736-3617"
"470","카페드콘서트 남대문점","서울 중구 세종대로 17 와이즈타워 1층","",""
"473","필운동주","서울 종로구 필운대로 15 1층","월요일","010-4316-9333"
"476","에스팩토리","서울 중구 세종대로18길 8-2","",""
"477","보라소","서울 중구 세종대로21길 22","",""
"479","아마스빈 종로점","서울 종로구 종로 19 1층 109-1호","월~금 07:30 ~ 23:00","02-730-0101"
"481","카페다","서울 종로구 통일로14길 24-2","","02-736-0301"
"483","카페아이엠티 순화점","서울 중구 칠패로 27 순화더샵주상복합 B동","","02-771-8817"
"486","소꿉놀이","서울 종로구 자하문로6길 14 지하 1층","매일 11:00 ~ 20:00","02-6925-5916"
"488","공정무역가게 지구마을","서울 중구 세종대로 110 서울특별시청 시민청 지하1층","","02-720-8604"
"490","광화문커피집","서울 종로구 새문안로5길 31","","02-723-8885"
"492","일층은커피","서울 종로구 새문안로5길 10-1 1층","",""
"499","버블트리 시청역점","서울 중구 서소문로 131","월~금 08:30 ~ 22:00","02-777-3044"
"500","카페일므디","서울 중구 청파로 447-1","","02-6365-1904"
"502","어니언 안국점","서울 종로구 계동길 5","월~금 07:00 ~ 21:00",""
"503","카페노티드 안국","서울 종로구 북촌로 6-3 1층","월~금 11:30 ~ 21:30",""
"504","프릳츠 원서점","서울 종로구 율곡로 83","매일 10:00 ~ 21:00","02-747-8101"
"505","레이어드","서울 종로구 북촌로2길 2-3","월~금 08:00 ~ 22:00",""
"508","스타벅스 안국점","서울 종로구 북촌로 5-1","월~금 07:00 ~ 21:30","1522-3232"
"509","갤러리더스퀘어","서울 종로구 계동길 128 201호","월~금 12:00 ~ 20:00",""
"510","하프커피 안국점","서울 종로구 계동길 82 1층","매일 10:00 ~ 21:00",""
"511","회화나무","서울 종로구 창덕궁길 35 3층","월요일","02-795-3500"
"513","스타벅스 북촌로점","서울 종로구 북촌로4길 23 1층~3층","월 07:00 ~ 18:00","1522-3232"
"515","메가커피 안국역점","서울 종로구 계동길 33-2","",""
"516","이채카페","서울 종로구 북촌로 20-21","월요일","070-4259-0033"
"517","전광수커피하우스 북촌점","서울 종로구 북촌로4길 16","","02-745-2050"
"518","카페홍시궁 창덕궁점","서울 종로구 창덕궁길 35","매일 10:00 ~ 21:00","02-6449-6674"
"520","브람스","서울 종로구 율곡로 61","월~금 11:30 ~ 24:00","02-743-2059"
"521","미스핏츠","서울 종로구 계동길 72 1층","월~금 11:00 ~ 19:00","02-747-4293"
"522","카페공드리","서울 종로구 계동2길 4 1층","","02-765-6358"
"523","파티세리희원","서울 종로구 북촌로6길 30 1층","월~토 11:00 ~ 19:00",""
"524","다몽","서울 종로구 계동길 57 지하1층","월 15:00 ~ 22:00","02-6061-3948"
"526","이도카페","서울 종로구 창덕궁길 191","","02-762-0756"
"527","카페두루 본점","서울 종로구 계동길 60","","02-744-7554"
"528","아마스빈 안국역점","서울 종로구 북촌로 2 1층","","02-764-4620"
"529","더치앤빈 안국역점","서울 종로구 율곡로 59-1 1층","월~금 07:30 ~ 23:00","02-733-1477"
"530","매스커피 안국역점","서울 종로구 계동길 17 1층","월~금 07:00 ~ 21:00","02-762-6002"
"532","물나무다방","서울 종로구 계동길 84-3","","02-318-0008"
"533","더한옥","서울 종로구 계동길 75","","02-743-7470"
"534","카페드나타","서울 종로구 북촌로 22-1","",""
"535","광화문아침","서울 종로구 북촌로1길 5 MJ빌딩 B동 3층","","010-9414-7899"
"536","더블컵커피","서울 종로구 창덕궁1길 35 1층","월~금 06:00 ~ 19:00","02-743-4222"
"537","계동13","서울 종로구 계동길 119-1","매일 09:00 ~ 20:00","02-763-0013"
"539","매머드커피 계동점","서울 종로구 계동길 11 1층","월~금 07:00 ~ 20:00","070-8162-3196"
"540","커피온리 안국역점","서울 종로구 율곡로 63","월~금 07:30 ~ 21:00","02-747-1601"
"541","힐링타로앤카페","서울 종로구 북촌로5길 19-15","","02-745-3085"
"543","팔공티 북촌점","서울 종로구 창덕궁1길 36","",""
"544","아재커피 북촌점","서울 종로구 창덕궁1길 39","","02-745-4569"
"545","크렘브","서울 종로구 계동길 64","","02-742-5006"
"546","빈스로드 북촌점","서울 종로구 북촌로11길 35-7","",""
"547","쥬씨 안국점","서울 종로구 계동길 15","","02-745-3319"
"548","계동107","서울 종로구 창덕궁1길 41 1층","",""
"549","모노치즈 북촌점","서울 종로구 창덕궁1길 29 1층","","02-766-8591"
"550","빅 스트로우 북촌점","서울 종로구 북촌로5길 6 1층","",""
"551","카페아테나","서울 종로구 북촌로 20-3","",""
"552","밀밀홍","서울 종로구 계동길 103-4 1층","",""
"553","셀렉토커피 안국역점","서울 종로구 계동길 23","","02-742-8788"
"554","한경헌","서울 종로구 창덕궁길 170 1,2층","","02-742-7769"
"555","카페단밀","서울 종로구 창덕궁1길 32","",""
"556","끽다거","서울 종로구 북촌로4길 27","","02-733-9746"
"557","아꼬떼","서울 종로구 계동길 5","","02-745-1322"
"558","서로재","서울 종로구 북촌로6길 32-1 1층","",""
"559","티엑스티","서울 종로구 창덕궁길 121","","070-7760-0121"
"560","커피산책","서울 종로구 창덕궁1길 32","","02-743-2397"
"561","카페아이엠티 계동점","서울 종로구 계동길 19","","02-745-2959"
"562","계동커피","서울 종로구 계동길 89-1","",""
"564","비원커피","서울 종로구 창덕궁1길 9-1","","02-3673-0216"
"565","망고랑 본점","서울 종로구 계동길 112","","02-992-0178"
"567","홍익타로 4호점","서울 종로구 계동길 5","",""
"569","수지킴도시락아트카페","서울 종로구 창덕궁1길 10","","02-792-8736"
"570","멜팅팟 안국점","서울 종로구 율곡로 63 1층","",""
"571","마리온크레페","서울 종로구 북촌로5길 4","",""
"572","필묵문화예술원","서울 종로구 북촌로12길 35-1","","02-3142-3692"
"573","모던팩토리","서울 종로구 계동길 82 1,2층","","070-8826-0132"
"574","북촌","서울 종로구 북촌로11길 1","",""
"575","나무요일","서울 종로구 창덕궁길 31","","02-765-4762"
"576","쿠쿠스무스 북촌점","서울 종로구 계동길 96","",""
"577","2046","서울 종로구 계동길 73-1","",""
"578","까페줄리","서울 종로구 창덕궁1길 6","","02-743-5101"
"579","사계","서울 종로구 계동길 69","",""
"580","북촌티하우스","서울 종로구 계동길 5 1층","","070-4038-7735"
"581","체어스온더힐","서울 종로구 북촌로7길 20","","02-747-7854"
"582","소소","서울 종로구 계동길 76","매일 09:00 ~ 19:00","02-742-6925"
"583","어메이징","서울 종로구 창덕궁길 84","","02-737-8066"
"584","컴포즈커피 계동현대사옥점","서울 종로구 율곡로 75","",""
"585","빅스트로우 북촌점","서울 종로구 북촌로5길 6","","02-765-0942"
"586","우바","서울 종로구 북촌로 53 1층","","02-736-0015"
"587","북촌애미소","서울 종로구 북촌로 35 가회동주민센터 1층","","02-745-5567"
"588","GaHoe Gallery&Cafe","서울 종로구 북촌로 96-7","",""
"589","더0123","서울 종로구 북촌로 14-2 1층","매일 07:00 ~ 18:30","02-744-0673"
"591","인","서울 종로구 북촌로 14-1","","02-763-7355"
"592","더반 카페&홈베이커리","서울 종로구 북촌로 39","",""
"593","가회갤러리&카페","서울 종로구 북촌로 96-7","","02-546-1883"
"594","웃음이바람을타고","서울 종로구 계동길 76","",""
"595","슈가살롱","서울 종로구 계동길 109","","02-766-1960"
"596","바로쥬스 무인스토어","서울 종로구 북촌로 10","",""
"598","보티","서울 종로구 율곡로 65","","02-744-0444"
"599","포스케이터링","서울 종로구 율곡로 75","","02-746-2620"
"602","와이엔","서울 종로구 윤보선길 71 1층","월요일","02-735-6701"
"603","가배도 삼청점","서울 종로구 북촌로5길 56-8 101호","월~목 10:00 ~ 21:00",""
"605","스모어마켓 윈터하우스","서울 종로구 율곡로3길 74-3","월요일",""
"610","카페보라 삼청본점","서울 종로구 율곡로3길 75-3 1층","매일 11:00 ~ 22:00","070-8613-5537"
"611","호아드","서울 종로구 율곡로1길 54-3","","02-725-1204"
"612","도트블랭킷","서울 종로구 윤보선길 22 1층","월~금 08:30 ~ 21:00","02-737-2220"
"615","라디오엠 삼청점","서울 종로구 삼청로2길 37-2","","02-737-4669"
"618","자작나무이야기","서울 종로구 율곡로1길 74-15","","02-730-7932"
"620","월하보이","서울 종로구 북촌로5길 26","","0507-1349-2340"
"622","차향기듣는집","서울 종로구 북촌로5길 29","매일 12:00 ~ 22:00","02-720-9691"
"624","카페이드라","서울 종로구 윤보선길 18","","070-4155-1004"
"626","커피브론즈","서울 종로구 율곡로5길 16 1층","월~금 09:30 ~ 22:00","070-4231-8221"
"627","연","서울 종로구 삼청로 84-3","월,수,목,금,토,일 14:00 ~ 21:30","02-734-3009"
"628","그린냅","서울 종로구 북촌로5나길 3-15 1층","월요일",""
"629","전통떡카페다온","서울 종로구 북촌로5가길 35-4","","02-723-9263"
"630","Floor For Fiction","서울 종로구 북촌로5가길 3 3층","월요일","070-8890-9564"
"631","카페골목숲","서울 종로구 삼청로 86-3 1층, 2층","매일 11:30 ~ 22:00","070-4250-1664"
"632","cafe LN","서울 종로구 북촌로5나길 5","월~토 10:00 ~ 22:00","02-722-7597"
"633","오설록 티하우스 현대미술관점","서울 종로구 삼청로 30","월,화,수,목,일 10:00 ~ 18:00","02-739-9293"
"636","카페브리진","서울 종로구 삼청로 90-2","월~금 10:30 ~ 22:30","02-722-8120"
"638","커피인뜨락","서울 종로구 삼청로5길 11","매일 11:00 ~ 22:00","02-725-7776"
"639","카페죠꽁드","서울 종로구 삼청로 90-3","월요일","070-7763-0929"
"641","슈퍼커피 안국점","서울 종로구 율곡로3길 64","매일 10:00 ~ 22:00","02-722-4429"
"642","코피발리 안국점","서울 종로구 율곡로5길 19","월~토 08:00 ~ 20:00",""
"644","카페D55","서울 종로구 팔판동 55","월,화요일","02-720-5014"
"645","커피빈 안국역점","서울 종로구 율곡로 47 1, 2층","월~금 07:30 ~ 23:00","02-722-3356"
"646","아리랑","서울 종로구 북촌로1길 17","","02-734-1009"
"648","라플란드 드 카페","서울 종로구 삼청로 83 2층","","02-720-3090"
"649","오아재","서울 종로구 율곡로3길 74-1","",""
"650","마리웨일237 안국역점","서울 종로구 윤보선길 10 1층","","02-594-1494"
"651","카페진선","서울 종로구 삼청로 59 1층","",""
"653","도도","서울 종로구 북촌로5길 56","",""
"654","라끌레","서울 종로구 팔판길 42","","02-734-7752"
"656","올넥스트 카페코나퀸즈","서울 종로구 윤보선길 22","",""
"658","슬로우포레스트","서울 종로구 삼청로5길 20","매일 12:00 ~ 19:00",""
"661","달그락","서울 종로구 율곡로1길 52 1층","매일 11:00 ~ 21:00","02-3672-3127"
"662","파툼","서울 종로구 삼청로 86-5","월,수,목,금 14:00 ~ 23:00","02-739-9888"
"665","커피마시는고양이","서울 종로구 율곡로3길 70","","02-720-8162"
"666","여여자연","서울 종로구 율곡로3길 80","매일 10:00 ~ 22:00","02-734-3434"
"668","에어리아카페","서울 종로구 북촌로5길 43","",""
"669","진향당","서울 종로구 율곡로 49-16 1층","",""
"672","화동커피","서울 종로구 율곡로3길 82","","02-730-5349"
"673","파인콘","서울 종로구 북촌로5가길 44","매일 11:00 ~ 20:00","02-395-8212"
"674","안국동차관","서울 종로구 윤보선길 19-18","","070-4046-1666"
"675","어나더디","서울 종로구 북촌로11다길 23","","02-546-4225"
"676","로로스","서울 종로구 윤보선길 36","","02-722-0400"
"678","슬로우파크","서울 종로구 율곡로1길 44","","02-739-8797"
"680","갤러리안단테 삼청점","서울 종로구 삼청로2길 32","","02-3444-0914"
"681","Bingo","서울 종로구 율곡로3길 75-3","",""
"683","달","서울 종로구 삼청로 94-1","월~금 10:00 ~ 22:00","02-735-7355"
"684","퐁당","서울 종로구 윤보선길 10","","0505-365-6334"
"685","몬스터캠퍼스","서울 종로구 율곡로3길 74-3","",""
"686","작은숲","서울 종로구 윤보선길 20","",""
"688","한옥찻집","서울 종로구 인사동12길 9","","02-737-0538"
"689","이분의일라운드","서울 종로구 팔판길 30-1","","02-735-1752"
"692","츄로101 삼청점","서울 종로구 삼청로 99","매일 10:00 ~ 22:00","02-734-9834"
"696","카페그라노","서울 종로구 삼청로 30 국립현대미술관 서울관 1층","",""
"697","폴인팬케이크","서울 종로구 삼청로 108","매일 11:00 ~ 21:00",""
"699","빨강숲","서울 종로구 삼청로 75-8","",""
"700","달새는달만생각한다","서울 종로구 인사동12길 14-3","매일 10:00 ~ 23:00","02-720-6229"
"701","나무","서울 종로구 소격동 14-5 아크로폴리스빌딩 1층","","02-735-1629"
"702","돌봄티 종로점","서울 종로구 율곡로 56 운현하늘빌딩 2층","",""
"705","카페ICAM","서울 종로구 삼청로 65-4","","070-8200-6611"
"706","귀천","서울 종로구 인사동14길 14","","02-3210-2288"
"711","아이디어스스토어","서울 종로구 인사동12길 12-4","","1668-3652"
"714","카페호미","서울 종로구 삼청로 22","월~금 10:00 ~ 18:00",""
"717","에피파니","서울 종로구 삼청로7길 19-13","","02-730-7775"
"719","꽃이피움","서울 종로구 우정국로 68 동덕빌딩 1층","월~금 08:00 ~ 21:30","02-720-0090"
"720","경인미술관 전통다원","서울 종로구 인사동10길 11-4 경인미술관 내","","02-733-4448"
"721","해빛","서울 종로구 율곡로 39 3층","","02-733-9118"
"722","카페호세","서울 종로구 삼청로 90-3","",""
"726","커피볶는집","서울 종로구 삼일대로 469 서원빌딩 지하1층","",""
"727","오설록 티하우스 인사동점","서울 종로구 인사동길 45-1","매일 10:00 ~ 22:00","02-732-6427"
"734","스타벅스 삼청동점","서울 종로구 삼청로 111-1 1층","월~금 07:30 ~ 17:00","1522-3232"
"735","북촌아이","서울 종로구 북촌로11길 78","월요일","02-734-7753"
"737","찬스사주작명카페","서울 종로구 인사동길 57 2층","매일 11:00 ~ 21:00","02-732-7320"
"740","스타벅스 경복궁사거리점","서울 종로구 율곡로 6 트윈트리타워 B동 101호","월~금 07:30 ~ 17:30","1522-3232"
"743","카페아이엠티 종로수송점","서울 종로구 율곡로4길 7 1층","","02-730-2828"
"748","커피빈 삼청동점","서울 종로구 삼청로 109 2,3층","월~금 08:00 ~ 22:00","02-730-5177"
"749","커피로드102","서울 종로구 삼청로 102","",""
"751","라라브레드 안국점","서울 종로구 율곡로 24","",""
"752","삼청동커피","서울 종로구 삼청로 91-1 1층","",""
"753","아틀리에송","서울 종로구 율곡로6길 23","",""
"755","안녕인사동타이거슈가 인사동점","서울 종로구 인사동길 49","",""
"756","아로마스토리","서울 종로구 삼일대로 461 1층 115호","",""
"758","푸른꽃","서울 종로구 북촌로5나길 91","","02-6083-9011"
"762","유담","서울 종로구 인사동16길 15","","02-735-9337"
"764","꾸까 광화문점","서울 종로구 율곡로 1 2층","","1661-1031"
"765","까페이탈리아 안국역점","서울 종로구 율곡로 88 삼환빌딩 1층","","02-860-0731"
"769","삼화령","서울 종로구 인사동14길 20","","02-722-1533"
"770","맥애덤스커피","서울 종로구 율곡로6길 29","",""
"772","즐거운찻집","서울 종로구 인사동길 55-2","","070-4178-6887"
"774","흐린세상건너기","서울 종로구 인사동14길 20","매일 12:00 ~ 24:00","02-739-5869"
