cafeno,name,r1,r2,r3,r4,r5,r6
198,스타벅스 새문안로점,리뷰 보고 왔는데 오늘 일요일인데 2층은 시끄러워요.. 스타벅스가 모 그렇죠..,주말에 가면 한산해서.. 출근햇다가 밀린 업무나 공부할 때 자주가요~~~,여기는 조용하고 괜찮습니다,최고예요,,
206,52로스터스랩,최고예요,최고예요,최고예요,마비앙코가 유명한 곳!! 자리는 협소하지만 카페 디자인도 멋있고! 사장님도 친절함!!,"커피 맛도, 분위기도 깡패급! 너무너무 맛있어요~ 뱅쇼도 맛있고 수제티도 맛있고 친절함은 덤으로 오는! 애정하는 카페에요~  52LAB! ",
210,스타벅스 광화문R점,아이스 아메리카노,좋아요!!,아이스라티 그랑데사이즈 먹었는데 외국카드 달러로 계산했더니 다음날 카드보니 벤티사쥬로계산해놈 다시돌아가는 차비가 아까와서 그냥 넘어가는데 욕나옴,책 읽기도 좋고 분위기도 깔끔한 지점 광화문 일대에서 가장 좋다는 평 듣고 찾아갔는데 괜찮았어요 춥다니까 자리 위치 에어컨 물어보시고 줄여주셔서 감사했습니다.,남자직원들 쓸데없이 들락날락... 일 안해요? 여기 원래 이래요? 너무 돌아다녀서 진짜 먹는데 체하겠어요. ,
212,이디야커피 중림점,좋아요,좋아요,보통이에요,이디야,,
218,스타벅스 스페이스본점,"적당한 크기의 사우나와 찜질방, 사람들도 많지 않고 적당해요. 밤 12시에 불끄고 텔레비전 꺼주어서 잠자기 좋아요.",느긋하고 한적하고싶을때 가는 곳 매장크기가 넓진 않은데 앉아잇으면 기분 좋아요,단지 내에 있는  스타벅스이기 때문이 아니라 직원들이 좋아서 별 5 늘 친절합니다,우리집 1층 스타벅스. 매일 출근도장 찍는 전용 카페^^,,
222,할리스커피 세종로점,의자사이 간격이 너무 좁아졌고 인테리어가 빡빡하게 바뀌었음,와이파이잘되는거같고 자리도쾌적하고 햇빛도잘들어오고 좋네요,가끔씩 와이파이가 잘 안된다.,24시간이라는것 자체가 매력적.,와이파이 절대 안됨-  여긴 일부러 와이파이 먹통으로 내버려둔다고 생각됨 ,
227,할리스커피 광화문점,별로예요,어제 낮에 갔는데 손님 네명만 있고 한산했거든요. 딸기 스무디인가 그거 되냐고 물어봤더니 마스크 낀 상태로 대놓고 한숨 쉬고는 5700원이라고 하는데 응대하는 꼬라지가 그게 뭡니까? 상전 받드는 수준을 바란건 아니지만 마스크 꼈다고 면전에서 한숨쉬는게 말이 되냐고요. 교육 똑바로 안 시켜요?,와이파이 안터지고 3층 쉰내나요 불쾌한 공간,좋아요,광화문 메인스트리트에 할리스입성 ㅋㅋㅋ 할리스는 요즘24시영업으로 몰고가나보다~ 다들 이렇게안하는데 영등포역등을 비롯한 많은곳에서 24시간영업을 하고있음~ 맛은 모두 그저그런 평범한곳이지만 늦게까지 하는 특장점에 박수를!ㅎㅎㅎ,
234,마농트로포,보통이에요,비싼데 맛없어요... 돈 아까워요...,음.. 가격에 대한 양심이 없는 곳인듯 서비스도 그렇고 커피며 디저트 맛도...,되는 티도 별로 없고 타르트는 축축하고.. 야외 테라스에 앉으면 감나무에서 떨어지는 감에 언제 머리를 뚜들겨 맞을지 모르는 곳,사장이 매장에 신경 좀 써야할 듯;; 커피 7천원 받는 카페치고 직원관리가 안 된 느낌. 테이블 정리해주러 온 직원이 물티슈 한장 들고와서 부스러기 떨어진 데만 간신히 닦아주고 간다. 남직원도 아닌 여직원이었음.,
241,투썸플레이스 광화문역점,"소파에 얼룩 있고요 ㅠ 음악이 왜 이래요? 비 태양을 피하고 싶어서, 박진영 난 여자가 있는데 이런거만 나오고 지지직거리는 소리가 계속 나요",더러움,2층에 바퀴벌레 발견..............,보통이에요,,
253,포시즌스호텔 마루,마루버거 34000원  샌드위치 30000원   맥도날드보다도 별로 ;;;  누가 사준다고 해도 절대 다시는 가고싶지 않은 ㅠ ,비쥬얼 짱 👍🏻 ,,,,
255,쉴만한물가,Luscious Coffee by 이 명재 Dutch Coffee,광화문 최고!,"저렴한 가격으로 좋은 품질의 커피맛을 느낄수 있는 카페. 아메리카노 가격이 1,500원  커피 가격대가 2,000~3,000원  저렴한 가격이지만 커피맛은 신선하고 좋음 특히 샷추가 값이 없으며 에소프레소가격이 아메리카노가격과 동일 1,500원",정말 좋은카페,고품질 저가격을 자랑하는 내수동의 소문난 카페!,
260,쇼콜라디제이,최고예요,테이스팅코스,Whisky Bon Bon & Liquor Faber,,,
261,이디야커피 광화문점,매장넓고 깨끗하고 좋아요 스피커에서 자주 찢어지는소리가나요,매장이 넓고 깔끔 쾌적해요,,,,
267,폴키,커피랑 레모네이드가 물탄거마냥 허절나게 닝닝하네요.. 내부도 딱히 특색은 없습니다. 간판 폰트 디자인이 이 가게의 베스트인듯,커피맛은 아쉽지만  한옥을 개조해서 공간이 아담하고 비오는 날 중정이 너무 멋스럽다.,지나가다 Coffee,,,
271,오디디,"솔티드카라멜 케이크, 아아  문 밖에서 로네펠트 차들이 쫙 한 줄로 보이길래 뭐하는 곳이지? 궁금증이 생겼는데 들어가니 보이는 케이크들이 귀염뽀짝! 그러나 모양새보다는 덜 무서운 단 맛이었닼ㅋㅋ 모습은 설!!!!탕!!!!! 같은데 시트는 평범, 크림은 생각보다 평범하게 괜찮다.  다른 손님들 보니 소다를 많이들 시키던데 쏘쏘했던 커피보단 나은 선택 같기도 ...",하나하나 다 맛있었음 최고 ...  또가고싶은곳,커피는 평범.. 케익은 정말 예쁘지만  다른 케익 전문카페에 비하면 너무 뻑뻑해서 나중엔 다 남겼어요. (당근케익) ,케잌도 맛나고 커피도 맛있고 거기에 젊은사장님도 친절하셔서 너무 좋았어요  강추~~~,사진은 메론소다입니다. 가게는 작은 편이에요!,
274,카페마마스 시청점,ㅂㄹ,"비싼데 맛없고 비위생적인데다 불친절합니다. 회사 근처에 샌드위치 가게가 별로 없어서 10여 년 전부터 아주 가끔 어쩔 수 없이 방문했는데, 갈수록 상태가 가관이어서 올해 한번 다시 가본 후 아예 발을 끊었습니다. 직원들의 근무태도와 성질머리가 특히 매우 인상적인(?) 가게입니다. 판단 잣대는 사람마다 천차만별이겠지만요.",주변에 더 저렴한 샐러드 가게들 많음... 이가 크게 나간 그냥 흰 도기 그릇에 담아준거보고 어이없었음. 동네 밥집에서도 이나간 그릇에 밥먹어본 적은 없음. 솔직히 이 가격받으면 우드볼을 쓰던지 하여튼 커트러리 좀 신경써야할듯. 인테리어는 의자와 테이블이 오합지졸로 늘 정신없는 곳 ㅜㅜ,닭가슴살샐러드 시켰는데 닭가슴살이 카레에 푹 담궈진후 얼린후 제대로 데우지도 않았습니다...이 메뉴가 다른 지점에서도 이런가요?,와 .. 이렇게 ㅆㄱㅈ없는 종업원들은 난생 처음.  ,
277,이디야커피 충정로역점,최고예요,,,,,
278,커피원,맛있는집이 숨어있었네요 ㅎㅎ,,,,,
279,탐앤탐스 대한항공서소문점,보통이에요,최고예요,조금 아쉬워요,시럽도 충만하게 주고 아메리카노 양이 많아 넘침.. bb,,
283,엔제리너스 세종로점,위치가 좋아요. ,사람없고 조용히 광화문 뷰 보면서 독서하거나 노트북하실분에게 강추 ,어떤분은 친절 어떤분은 불친절...커피맛도 매일 달라짐... 스벅처럼 좀 친절하면 어디 덧나나,민감하신분들은 다른 매장 찾아가셔야 할듯... 1층부터..담배 쩐내가... 나는데..스페셜티라니... ,친절했어요,
284,이디야커피 세종로점,대부분 공감 안될수도 있지만.. 오늘 정말 추웠는데.. 광화문서 서대문역 가는길에 핸드폰 배터리도 끊기고.. 지나가다 이디야 보여서 일하시는 분에게 핸드폰 지도 좀 보여달랬더니 안된다고만..어려운 부탁은 아니였던거 같은데..앵무새 같이 못보여준다고만하데요..결국 알아서 찾아가기누했지만 다신  이디야 커피하면 이용안할겁니다,최고예요,보통이에요,좋아요,좋아요,
287,위트러스트커피 시청점,아이스라떼. 커피맛 보통,"커피도 맛있고, 조용하고 분위기 좋아요.","아메리카노 3,4",,,
293,풀오브파운드,최고예요,레드레드한 벽이 인상적인 카페 사진 찍으러 많이 오시는듯 음료 디저트도 괜춘함^^,골목입구에서 바로 보이는 핑꾸핑꾸한 카페! 옆자리와 간격이 가까워서 편하지는 않았지만 시그니쳐 음료로 얼그레이 들어간 라떼가 존맛탱!!    ,스피커가 좋았따 베이커리는 보통,,
294,투썸플레이스 대한통운사옥점,아르바이트 분들이 친절해요! ,보통이에요,,,,
295,투썸플레이스 순화동점,"4.4. 토요일 저녁시간. 마감시간이 1시간 이상 남아 있었습니다. 손님이 아무도 없었는데... 왜? 안경 쓴 여자 알바분, 손님이 아예 안오길 바라신 걸까요?  4명이 들어가 특이한 메뉴를 주문한 게 아니었습니다만 주문하려는 메뉴마다 마다 안된다고 해서 그냥 나왔네요.  ",최고예요,좋아요,,,
298,가을,40대~60대 최고의 놀이터^^,음악과 술을 즐기고 자유로움을 느낄수 있는곳이다 처음 방문했는데 연령대가 중년의 향기를 느낄 수 있는 장소가 아닌가 싶었다,자유로움...아주...ㅋ,광화문 뒷골목을 한바퀴 돌아보면 만나게되는 봄 여름 가을 겨울 중 가을... 음악을좋아한다면 좋아할수밖에 없을거다,,
303,카페자스 광화문점,"산미 좋아하시면 일반 아이스아메리카노보다는 3,300원 특별 아메리카노가 더 맛있어요",별로,카페모카,착한가격 맛있는음료를 접할수있어서 좋았어요,어두컴컴하네요. 자몽오렌지 티나 에이드는 달달 합니다.,
304,그레이커피,보통이에요,커피맛집 인정인정 두번 인정,그냥 맛있지도 맛없지도 않은 적당한 커피. 인테리어는 잘 해놨는데 어차피 테이크아웃 전문이라 중요하지않음,커피맛집 인정 (라떼가 특히 강추네요),,
305,카페아이엠티 광화문점,"과일이 신선하고, 직원들이 친절하네요",,,,,
309,내자동커피,아메는 맛 보통입니다.  혼자온 남자분 전화 십분넘게 호탕하게 웃으며 하셔서 조용한 까페는 실패입니다 조용해달라고 안내하지 않으니.. 모닝커피 한번 요란하게 마시다 갑니다,커피의 산미향을 원하시는 분들께는 추천합니다. 위에 평가(별점)은 서비스에 대한 평가이지 커피평가가 아닙니다. 커피는 별4개~5개. 오늘 방문했다가 살짝 기분이 나쁜경험이 있었습니다.   1.보통 매장내에서 마실 때 마감시간이 1시간정도 남았다면 손님한테 노티스를 주는게 맞죠. 담당아가씨가 디피쪽 불을 끄시길래 혹시나해서 여쭤보니 매장 클로징이 40분도 안...,에피오피아 특유 꽃 내음과  맛을 느낄수 있는 에스프레소 !!! 원두선택시 참고하세요 ㅎㅎ,커피맛 굿입니다^^,커피가 맛있어요 사장님도 친절하시고 분위기도 좋아요,
316,커피빈 세종문화회관옆점,헤이즐넛 라떼 맛있다 커피빈은 small 이 tall 이구나,모카카라멜라떼 맛나♥ 근데.점심시간때.너무번잡해ㅠ,,,,
325,커피빈 광화문점,최고예요,좌석 많고 공간 넓고 화장실 깨끗하고 직원분들 친절하신 커피빈 매장 중에 내가 제일 좋아하는 매장!! 집에서 심심하고 딱히 할 거 없을때 그냥 놀러가요,직원들이 매우 친절하고 좌석 넓고 깔끔함. 매장이 매우 넓어서 조용한 구역은 조용하고 활기찬 구역은 활기참. 조용하게 공부하기에도 좋고 모임장소로도 좋을 듯. 재방문의사 100%,넓어서 좋아요,D타워 건너편 커피빈 넓지만 그만큼 사람도 많음. 직원은 항상 친절한느낌,
326,커피온리 광화문역점,최고예요,,,,,
329,스타벅스 무교동점,왜 이렇게 평이 안좋지??? 출근길에 매일 커피를 사먹는 곳인데~~  직원들 친절하고 카피도 아주 빨리 나오고 좋은데....,디젤기름냄새가 매장가득 나는데 뭐지...  밖에.주차장에서 냄새가 들어오는건지 공기가 쾌적하지않음 ,남직원 손님을 눈으로 쏘아보는줄ㅋㅋ 불친절에 카페앞은 담배밭~~,많이 기다려서 사이렌오더해야됨 그리고 너무 시끄러워서 두통올지경 텤아웃추천,넓어서 좋긴 한데 점심시간에 가면 직장인들로 바글바글해서 두통이 올 정도로 시끄럽습니다  ,
340,카페잇,Cozy Italian,,치킨샐러드에 향신료 맛도 나면서 치킨이 바삭한 아몬드에 뒤덮혀 처음먹어보는 맛에 너무 신기하고 너무 맛있었당 ㅋ 스파게티는 그닥..ㅜ,음식이 맛난 카페. 빵이 맛난 카페. 하지만 나는 경희궁의 아침 찾는 게 항상 어렵다....ㅜㅜ,깔끔한 인테리어의 분위기 좋은 카페~~,
344,적당,직원의 불친절함이 정말 정말!! 주인님은 이런 직원의 태도를 알고 있는지 궁금합니다. 직원교육이 절실히 필요함,보통이에요,경단이 맛이 없어요 공간은 예쁘고 깔끔해요 !,"가야는이유 : 카페로서도 괜찮은 가격과 분위기 안가는이유 : 메인인 양갱 가격이 부담스럽  선물용양갱 : 달지 않아 좋은, 생각보다 어르신의 취향 보다는 젊은 사람 입맛에 맞는 맛이 많음",양갱은 맛있는 편이였고 아포가토도 괜찮았어요! 커피는 그냥 평범했어요 평이 심각하던데 직원분들은 그냥 평범하게 응대해주셨어요 가게는 넓고 깨끗하고 예쁜데 자리는 불편해요 아 주말에 가보니 사람이 너무 많더라구요ㅠ,
347,카페셀란,앞에 서있어도 주문 안받고 지들 얘기함  음료도 1초도 안되서 주는거 보면 커피 미리 내려놓고 물 넣은거.  나왔다고 말도 안함 ㅋ  돈이 아까움,,,,,
351,H라운지,보통이에요,운치있는 브런치 카페 음식은 쏘쏘 사진 찍기에는 괜춘^^,분위기만 좋고. 음식도 맛이 없고. 서비스도 별로 물 셀프. 피클 떨어졌다하고. 음식도 따로 따로 나오면서 나중에 나온 것이 늦게 나와서 먼저 먹기 시작한 사람 식사 끝날때 쯤 나옴,런치 파스타 16천원짜리 먹었는데 피클 3조각 밖에 안나와서 더달라고 했더니 피클 소진 되서 없음 크리(12시인데??) 물도 셀프 냅킨도 셀프...직원들은 바쁘고 음식은 30분 기다림. ,분위기는 좋은데 맛이 없어요. 가격 대비 창렬,
353,스타벅스 태평로점,최고예요,보통이에요,보통정도?,화장실에 비밀번호,보통이에요,
361,헤븐온탑,밀크티 굿~ ,직원들 모두 친절하고 원두도 맛있습니다. 케익들도 강추!,보통이에요,크레이프 두 종류 무난히 맛있는 케이크. 커피는 별로. 아메리카노 되게 크고 무슨 스프처럼 거대한 잔에 준다. 차를 시키면 다기도 예쁘고 해서 더 좋았을 것.,빌즈 마감으로 인해 온 카페 케잌 가격은 좀 있지만 맛있으니 봐줌 ㅋ 분위기도 괜춘하다^^,
363,파스쿠찌 서울시청점,파스쿠찌,알바생분이 특히 친절하시고 커피도 맛잇고 좋아요,최고예요,,,
365,공차 시청점,보통이에요,주문 누락되서 10분 넘게 기다렸어요. 그래서 받은 것도 잘못 받은거 ㅎㅎ  두번 다시 안와야겠네요,주문 받는데 자기들끼리 서로 잡담 많이 함. 주문하는데 답답함. ,좋아요,보통이에요,
366,매머드커피 퍼시픽타워점,.,,,,,
375,토프레소 태평로점,싸지도않고 그렇다고 맛있지도않은데 (음료는 엄청달고 커피는 쓰디씀..) 사람들이 많이가는이유를 도통 모르겠음,최고예요,,,,
378,마담티라미수 디타워점,겁나맛있어요 체리 티라미수.... 티라미수 층층이 체리가있는데 주문하면 생 체리를 얹어줘요....ㅠㅠㅠ 지금 행사해서 9000원에 커피한잔까지 주시는데 뭐가 남긴 하시나요...??? ㅠㅠㅠ 번창하세요 그래야 사먹지,맛있어요! 패키징 예뻐서 선물하기 좋아요,특별한맛은 없어요..,,,
379,아름다운커피 경복궁점,최고예요,조금 아쉬워요,보통이에요,,,
381,커피티쳐 광화문점,분위기는 좋은데  커피 핵노맛;;;,조금 아쉬워요,카푸치노 마셨는데 최악이네요. 여기가 왜 평점이 좋은지 이해불가.,최고예요,최고예요,
386,드롭탑 세종로점,깨끗하고 맛있어요^^,최고예요,,,,
387,이디야커피 경복궁역점,사장님이 바뀌어서 그런지. 너무 좋아용 편안하게 차 마실수있어요^^,없어져야 할 가게,삼성페이를 직접 대라고 하는곳은 어느정도 있긴했는데 요긴좀... 카드기기가 직원방향으로 있는데 거기에 손님보고 갖다대라그럼 ㅋㅋㅋㅋ 폰 떨궈서 망가트리면 생기는 불화를 사전에 차단하려고 하는거같긴한데 그럴거면 계산대를 그냥 손님쪽으로 놔요 ㅋㅋㅋㅋㅋ  전기코드도 막아놓고 자리마다 '앉아서 책읽거나 노트북 공부 할거면 거부한다' 라는 뉘앙스로 적혀잇음; 왜 ...,별 한개도 아깝습니다. 주문한지 30분 만에 책읽을거면  나가라고 하는 사장님과 나이든 여직원의 조화,커피를 1인 1잔 주문했음에도 30분도 안 되어 나가달라고 재촉하는 사장님.. 가지마세요,
389,스타벅스 시청플러스점,최고예요,별로,보통이에요,최고예요,좋아요,
391,코피오,보통이에요,,,,,
396,카페광화문,맛있고 친절해요  광화문역 근처 테이크아웃 중 가장 괜찮음 ,의자만 있으면 맨날 가고싶은곳. 그래도 날이 따뜻해져서 자주 가고있습니다.,출근길의 낙,혀에 닿는순간 털썩 주저앉고 말았습니다. 아직까지 진정이 안됩니다. 별다섯개 박고 퇴장합니다. ,아메리카노 취향대로 골라먹어서 좋아요~!!,
402,빈트리200 25 광화문점,보통이에요,,,,,
406,수키,지하에 숨은 디저트 맛집입니다~  자신있게 추천합니다!,,,,,
407,토츠오츠,건강하게 먹는 요거트 맛집. 가격도 괜찮다,"가야는이유 : 가격대비로는 상당히 좋은 안가는이유 : 대부분 포장, 목메임  상당히 꾸덕하고 무당인 요거트, 가급적 목메이는 것보다는 수분이 있는 토핑 권장, 저녁시간에는 과일이 품절될 수 있음",요거트 맛집. 식사 대신으로도 좋음.,최고예요,,
409,올림커피,존맛탱. ,맛있고 귀여운 마카롱을 팔아요,,,,
410,고요채,"경복궁에서 한 블록 정도 들어간 한적한 골목에 있는 동양 차 및 화과자 카페. 의자도 편하고 테이블도 적당한 높이라 몸이 편하고, 봄에는 창 밖에 우거진 녹음 사이로 바람이 수런거리고 새소리가 들려서 무척 편안한 시간이었다. 차도 향기롭고 화과자가 맛있음. 직접 다구로 원하는 차를 우려 마실 수 있게 해 주는 메뉴도 있는데 색다르고 재미있다. 커피 메뉴도 ...",먹어본 가장 맛있는 화과자,,,,
412,코지25,안주도 맛있고 맥주도 저렴하고  특히 2층에 창가자리 앉아서 술마시면 바람솔솔 불고 멀리보이는 도시의 경치가 좋다,,,,,
413,커피빈 무교점,평일 저녁에 사람이 생각보다 적습니다,SFC 커피빈 매장 한층 밑에는 CBTL,커피맛 최고!!!!,보통이에요,주차 1시간 30분 무료,
415,디초콜릿커피앤드 덕수궁점,좋아요,,,,,
427,심플 광화문점,가성비가 좋고 맛도 좋은데 오픈시간이 들쑥날쑥ㅜㅠ 07:30 오픈이라 붙여놓고 네이버 앱에서는 08:00 하지만 8시가 되어도 오픈 안되어 있는 경우 종종 있고ㅜㅠ 개인업체인가? 사장님 맘데로? 아님 알바생? 종업원 출근시간이 오픈시간? 화남,가성비좋은 카페. 맛은 쏘쏘지만 점심먹고 테이크아웃하기에는 나쁘지 않음. 사람이 많아도 음료나오는 속도가 빨라서 오래 안기다림. 쿠폰도 찍어줘서 모으면 공짜음료도 마실수있음.,,,,
430,오헤어22,시카고가 그리운 사람들을 위한 곳. ,더 이상 사람을 수용할 공간이 없어보이는데 야외에 억지로 자리 만들어서 손님 받고 있어요ㅠㅠ 건물 계단앞에 우겨넣은 자리에서 쫓기 듯 먹고 나왔어요ㅠㅠ 맛을 느낄 새도 없었음,날씨 좋을때 가면 여행지 감성 느낄수 있음 안주도 맥주도 맛있고 서비스도 좋고 굿굿!,분위기도 친절도 굿굿입니다! ,,
431,이지샐러드 시청점,재료가 언제나 신선하고 맛있습니다,다른곳보다 확실히 가격은 상대적으로 저렴한 편이고 마감즈음에 가면 세일하거나 서비스도 주세요! 파니니는 정말 맛있구 샐러드는 드레싱이 조금 아쉬워요,싱싱하고 맛있어서 자주가는 곳,별로예요,샐러드보다 파니니가 훨씬 맛있었음. 개인적으로 주스나 에이드는 정말정말 비추한다ㅎ 그냥 기본 물 마시는게 나을정도. 청포도주스는 겁나 떫고 레몬에이드는 상큼함이 1도없었.. 여긴 파니니맛집!,
443,커피팩토리,서비스 운영마인드  별로입니다,비엔나 굿,커피원두 향이 끝내줘요 비엔나커피최고.,최고예요,,
444,플로리안커피,"커피맛도 좋고 아주 친절함, 이 근처 직장인들에겐 테이크아웃 유명까페임",최고예요,좋아요,,,
449,빈스빈스 HSBC본점,좋아요,,,,,
452,화두,지하철역 바로 앞에 있고 분위기 좋네요. ,비싸고 별로.... ,양도창렬 주인도 싸가지...절대오지마세여.........비싸긴 오지게비쌈,별로예요,보통이에요,
455,대오서점,좋아요,보통이에요,입구에서 부터 값비싼 커피를 주문해야 들어갈 수 있음. 차라리 입장료를 받는 것이 좋아보인다. 이렇게 낚시성으로 장사하면 재방문을 안하고 악순환이 될듯. ,음료는 별로지만 옛날 감성 분위기 느끼려고 가면 좋을 공간,최고예요,
466,호떡당 광화문D타워점,오리지널하고 아이스크림 바닐라 먹었는데 둘다 짱맛이지만 역시 오리지널 최고입니다♡ 맛있고 청결하고 친절해요bb,여기서 호떡 먹다가 씨게 데인사람 나야나,넘넘 친절하시고 호떡 아이스크림은 진리의 디저트 입니다!!!!! 히든메뉴(?)이지만 바삭바삭하고 짱마싯어요 ㅠㅠ ,정말 맛있었어요  엄청 친절하시고요~~~~^^,보통이에요,
470,카페드콘서트 남대문점,그닥...굳이 방문하고 싶진 않았어요,좋아요,좋아요,,,
473,필운동주,맥주도 너무 맛있고 안주도 맛있어요! 그리고 양도 진짜 많아요!!!,깔끔한 핸드드립. 조용한 야외 자리.,"여길 이제야 와보다니... 수제맥주와 간단한 안주들 가성비 최고. 맥주 맛도 최고. 친절까지. 혼맥할 때 꼭 오고 싶은, 나만 알고 싶은 집♥",,,
476,에스팩토리,최고예요,,,,,
